hpo_approach_id,run_id,iteration,config_original_idx,lr,num_layers,hidden_size,dropout_rate,weight_decay,device_used,processing_start_time_abs,processing_duration_s,test_accuracy,fitness_score,train_accuracy
StaticSplit_GPUx3,7c7346df,1,9,9.546870e-03,2,182,0.0869,1.312180e-07,cuda,1747256176.908,4.694,0.7602,0.7602,N/A
StaticSplit_GPUx3,7c7346df,1,12,1.430854e-02,2,87,0.0165,1.426099e-07,cuda,1747256181.603,2.885,0.7583,0.7583,N/A
StaticSplit_GPUx3,7c7346df,1,15,3.882379e-04,1,73,0.0034,3.914559e-05,cuda,1747256184.488,2.496,0.7229,0.7229,N/A
StaticSplit_GPUx3,7c7346df,1,18,1.467691e-04,2,35,0.2814,1.868821e-05,cuda,1747256186.983,2.660,0.6507,0.6507,N/A
StaticSplit_GPUx3,7c7346df,1,11,4.223940e-04,2,168,0.3613,1.379431e-07,cpu,1747256176.931,14.237,0.7307,0.7307,N/A
StaticSplit_GPUx3,7c7346df,1,14,4.502974e-04,2,130,0.2261,1.096175e-05,cpu,1747256191.168,4.802,0.7339,0.7339,N/A
StaticSplit_GPUx3,7c7346df,1,17,1.588072e-03,3,44,0.2928,5.375739e-07,cpu,1747256195.969,8.355,0.7268,0.7268,N/A
StaticSplit_GPUx3,7c7346df,1,10,1.297111e-02,1,54,0.4200,8.119942e-05,cpu,1747256176.924,11.791,0.7370,0.7370,N/A
StaticSplit_GPUx3,7c7346df,1,13,8.456352e-03,2,32,0.3147,1.461534e-06,cpu,1747256188.715,9.257,0.7318,0.7318,N/A
StaticSplit_GPUx3,7c7346df,1,16,3.276657e-03,2,136,0.2587,3.910739e-05,cpu,1747256197.971,3.782,0.7537,0.7537,N/A
StaticSplit_GPUx3,7c7346df,1,19,3.200274e-03,1,62,0.1889,1.274139e-06,cpu,1747256201.754,3.118,0.7428,0.7428,N/A
StaticSplit_GPUx3,7c7346df,1,0,3.206653e-04,3,113,0.0368,7.524139e-06,cpu,1747256176.889,15.002,0.7332,0.7332,N/A
StaticSplit_GPUx3,7c7346df,1,1,4.921397e-04,3,233,0.2469,1.694029e-06,cpu,1747256191.891,6.046,0.7449,0.7449,N/A
StaticSplit_GPUx3,7c7346df,1,2,1.802224e-02,2,98,0.3419,7.095465e-06,cpu,1747256197.936,4.603,0.7320,0.7320,N/A
StaticSplit_GPUx3,7c7346df,1,3,1.272119e-03,3,63,0.3861,8.894203e-05,cpu,1747256201.486,3.432,0.7330,0.7330,N/A
StaticSplit_GPUx3,7c7346df,1,4,1.075209e-02,1,125,0.3135,2.364413e-07,cpu,1747256204.917,1.619,0.7350,0.7350,N/A
StaticSplit_GPUx3,7c7346df,1,5,2.712042e-02,3,58,0.1051,1.333273e-05,cpu,1747256206.537,2.072,0.7380,0.7380,N/A
StaticSplit_GPUx3,7c7346df,1,6,1.672181e-04,1,49,0.0970,2.252821e-05,cpu,1747256208.608,1.519,0.6627,0.6627,N/A
StaticSplit_GPUx3,7c7346df,1,7,8.049016e-03,1,157,0.1810,1.376358e-07,cpu,1747256210.127,1.598,0.7472,0.7472,N/A
