hpo_approach_id,run_id,iteration,config_original_idx,lr,num_layers,hidden_size,dropout_rate,weight_decay,device_used,processing_start_time_abs,processing_duration_s,test_accuracy,train_accuracy,fitness_score
DynamicPull_GPUmicrobatch,c6468262,1,0,3.397413e-03,2,393,0.2518,8.180711e-07,cuda,1747257356.138,4.790,0.7545,0.7634,0.7545
DynamicPull_GPUmicrobatch,c6468262,1,9,8.055615e-03,4,211,0.3880,1.021647e-07,cuda,1747257360.929,3.491,0.7216,0.7266,0.7216
DynamicPull_GPUmicrobatch,c6468262,1,3,1.407350e-04,3,233,0.3618,1.118611e-05,cuda,1747257364.420,3.507,0.7223,0.7204,0.7223
DynamicPull_GPUmicrobatch,c6468262,1,1,1.370410e-04,3,197,0.4934,5.090708e-06,cuda,1747257367.928,3.542,0.7063,0.7040,0.7063
DynamicPull_GPUmicrobatch,c6468262,1,18,1.284717e-03,3,172,0.5241,8.268988e-07,cuda,1747257371.470,3.240,0.7323,0.7384,0.7323
DynamicPull_GPUmicrobatch,c6468262,1,4,2.757865e-03,1,334,0.0215,1.029052e-05,cuda,1747257374.710,3.082,0.7597,0.7648,0.7597
DynamicPull_GPUmicrobatch,c6468262,1,2,5.863270e-05,1,313,0.0435,2.624510e-07,cuda,1747257377.801,2.685,0.6688,0.6774,0.6688
DynamicPull_GPUmicrobatch,c6468262,1,7,1.271631e-03,3,137,0.2947,1.034156e-06,cuda,1747257380.487,3.315,0.7494,0.7542,0.7494
DynamicPull_GPUmicrobatch,c6468262,1,6,4.693691e-04,4,109,0.0708,1.643642e-07,cuda,1747257382.443,3.580,0.7388,0.7488,0.7388
DynamicPull_GPUmicrobatch,c6468262,1,19,4.561714e-05,1,216,0.0896,2.572765e-06,cuda,1747257386.024,2.977,0.6383,0.6400,0.6383
DynamicPull_GPUmicrobatch,c6468262,1,13,4.509405e-04,4,237,0.0946,2.541492e-06,cpu,1747257356.148,36.218,0.7540,0.7490,0.7540
DynamicPull_GPUmicrobatch,c6468262,1,10,2.011568e-04,3,278,0.1892,7.127332e-06,cpu,1747257356.211,36.314,0.7363,0.7250,0.7363
DynamicPull_GPUmicrobatch,c6468262,1,12,5.288289e-03,4,76,0.1489,2.112717e-05,cuda,1747257389.001,4.273,0.7444,0.7532,0.7444
DynamicPull_GPUmicrobatch,c6468262,1,5,7.456490e-04,4,46,0.0235,3.405000e-06,cuda,1747257393.274,3.889,0.7377,0.7494,0.7377
DynamicPull_GPUmicrobatch,c6468262,1,8,1.694032e-04,1,98,0.1270,8.678506e-07,cuda,1747257397.164,2.552,0.6901,0.6986,0.6901
DynamicPull_GPUmicrobatch,c6468262,1,11,1.896111e-03,4,341,0.2406,1.282460e-05,cpu,1747257356.090,46.239,0.7462,0.7480,0.7462
DynamicPull_GPUmicrobatch,c6468262,1,15,3.551972e-04,3,36,0.1619,6.498169e-07,cuda,1747257399.716,2.953,0.7179,0.7158,0.7179
DynamicPull_GPUmicrobatch,c6468262,1,17,7.430490e-03,1,188,0.3159,1.349487e-06,cpu,1747257391.033,13.280,0.7434,0.7474,0.7434
DynamicPull_GPUmicrobatch,c6468262,1,16,7.078974e-05,2,85,0.2673,2.707915e-05,cpu,1747257391.184,13.449,0.6617,0.6618,0.6617
