hpo_approach_id,run_id,macro_iteration,cpu_worker_id,config_batch_idx,lr,num_layers,hidden_size,dropout,l2,screen_time_abs,screen_duration_s,screen_accuracy_1epoch,screen_final_loss_1epoch,screen_loss_decrease,promoted_to_gpu
MultiStage_CPUScreen_GPUFull,2ce8a1ae,1,2,0,6.549958e-03,1,80,0.2245,6.721369e-07,1747258332.320,1.223,0.6270,0.8537,1.1531,True
MultiStage_CPUScreen_GPUFull,2ce8a1ae,1,2,2,4.596668e-03,2,127,0.3931,3.266901e-05,1747258333.699,0.209,0.6220,0.9089,1.0289,True
MultiStage_CPUScreen_GPUFull,2ce8a1ae,1,2,7,6.549958e-03,1,80,0.2245,6.221438e-07,1747258334.541,0.193,0.6460,0.8677,0.9919,True
MultiStage_CPUScreen_GPUFull,2ce8a1ae,1,2,4,1.014433e-03,2,66,0.1119,3.668658e-06,1747258334.106,0.115,0.4765,1.5239,0.3420,True
MultiStage_CPUScreen_GPUFull,2ce8a1ae,1,2,6,8.676271e-04,2,66,0.1119,3.784786e-06,1747258334.367,0.174,0.5485,1.6508,0.3338,False
MultiStage_CPUScreen_GPUFull,2ce8a1ae,1,2,5,8.676271e-04,1,66,0.1119,3.668658e-06,1747258334.222,0.145,0.4870,1.7210,0.2893,False
MultiStage_CPUScreen_GPUFull,2ce8a1ae,1,2,3,8.676271e-04,2,40,0.1119,3.668658e-06,1747258333.908,0.198,0.4475,1.8048,0.1587,False
MultiStage_CPUScreen_GPUFull,2ce8a1ae,1,2,1,2.344848e-04,1,33,0.4581,2.554829e-07,1747258333.543,0.155,0.3055,1.8990,0.0463,False
MultiStage_CPUScreen_GPUFull,ae85eb4c,1,1,2,1.306598e-03,1,32,0.1294,5.127468e-07,1747258333.824,0.162,0.3735,1.7709,0.2509,True
MultiStage_CPUScreen_GPUFull,ae85eb4c,1,1,6,1.306598e-03,1,32,0.1294,5.127468e-07,1747258334.647,0.113,0.4150,1.7610,0.2313,True
