hpo_approach_id,run_id,iteration,iteration_start_time_abs,iteration_end_time_abs,iteration_duration_s,num_configs_evaluated_total,num_configs_gpu,num_configs_cpu,best_fitness_this_iteration,best_fitness_so_far,wall_clock_time_to_best_so_far_s,approx_gpu_busy_time_s,approx_cpu_busy_time_s
StaticSplit_GPUx3,7c7346df,1,1747256174.136,1747256213.766,40.684,20,4,16,0.7602,0.7602,40.586,12.734,93.271
StaticSplit_GPUx3,7c7346df,2,1747256214.272,1747256254.867,41.672,20,4,16,0.7670,0.7670,81.687,12.782,94.397
StaticSplit_GPUx3,7c7346df,3,1747256255.349,1747256294.220,39.956,20,3,17,0.7722,0.7722,121.040,10.378,87.056
StaticSplit_GPUx3,7c7346df,4,1747256294.719,1747256331.751,39.221,20,3,17,0.7658,0.7722,121.040,9.830,90.462
StaticSplit_GPUx3,7c7346df,5,1747256332.270,1747256370.599,39.477,20,9,11,0.7685,0.7722,121.040,27.585,107.027
StaticSplit_GPUx3,7c7346df,6,1747256371.109,1747256406.701,36.747,20,4,16,0.7675,0.7722,121.040,12.393,81.911
StaticSplit_GPUx3,7c7346df,7,1747256407.195,1747256445.135,39.112,20,4,16,0.7665,0.7722,121.040,12.391,83.052
StaticSplit_GPUx3,7c7346df,8,1747256445.633,1747256485.827,42.544,20,3,17,0.7649,0.7722,121.040,9.493,99.405
StaticSplit_GPUx3,7c7346df,9,1747256486.394,1747256532.128,47.127,20,4,16,0.7659,0.7722,121.040,13.218,101.018
StaticSplit_GPUx3,7c7346df,10,1747256532.729,1747256570.881,39.273,20,4,16,0.7698,0.7722,121.040,13.095,88.988
StaticSplit_GPUx3,7c7346df,11,1747256571.394,1747256609.887,40.759,20,3,17,0.7687,0.7722,121.040,10.534,94.499
StaticSplit_GPUx3,7c7346df,12,1747256610.397,1747256651.691,42.507,20,9,11,0.7698,0.7722,121.040,27.389,116.648
StaticSplit_GPUx3,7c7346df,13,1747256652.205,1747256692.417,41.478,20,9,11,0.7744,0.7744,519.237,31.287,111.469
StaticSplit_GPUx3,7c7346df,14,1747256693.012,1747256732.761,42.264,20,3,17,0.7766,0.7766,559.581,10.319,95.766
StaticSplit_GPUx3,7c7346df,15,1747256733.251,1747256777.815,45.765,20,9,11,0.7766,0.7766,559.581,30.700,124.011
StaticSplit_GPUx3,7c7346df,16,1747256778.338,1747256824.301,48.483,20,9,11,0.7776,0.7776,651.121,31.158,133.607
StaticSplit_GPUx3,7c7346df,17,1747256824.905,1747256868.428,44.951,20,4,16,0.7747,0.7776,651.121,12.780,102.281
StaticSplit_GPUx3,7c7346df,18,1747256868.952,1747256910.495,42.894,20,4,16,0.7804,0.7804,737.315,13.123,95.541
StaticSplit_GPUx3,7c7346df,19,1747256911.008,1747256954.054,45.521,20,4,16,0.7770,0.7804,737.315,12.783,105.015
StaticSplit_GPUx3,7c7346df,20,1747256954.550,1747257001.434,48.178,20,3,17,0.7765,0.7804,737.315,12.035,113.855
StaticSplit_GPUx3,7c7346df,21,1747257001.938,1747257040.921,41.483,20,4,16,0.7840,0.7840,867.742,13.976,96.871
StaticSplit_GPUx3,7c7346df,22,1747257041.436,1747257084.041,43.903,20,9,11,0.7746,0.7840,867.742,31.119,120.527
