hpo_approach_id,run_id,iteration,iteration_start_time_abs,iteration_end_time_abs,iteration_duration_s,num_configs_evaluated,num_configs_gpu,num_configs_cpu,best_fitness_this_iteration,best_fitness_so_far,wall_clock_time_to_best_so_far_s,approx_gpu_busy_time_s,approx_cpu_busy_time_s
DynamicPull_GPUmicrobatch,c6468262,1,1747257353.496,1747257405.524,53.387,20,14,6,0.7597,0.7597,52.983,47.877,150.041
DynamicPull_GPUmicrobatch,c6468262,2,1747257406.094,1747257458.055,54.817,20,13,7,0.7641,0.7641,105.513,48.452,156.133
DynamicPull_GPUmicrobatch,c6468262,3,1747257458.795,1747257508.934,52.892,20,14,6,0.7806,0.7806,156.392,47.536,150.366
DynamicPull_GPUmicrobatch,c6468262,4,1747257509.604,1747257554.110,45.854,20,12,8,0.7731,0.7806,156.392,39.342,128.135
DynamicPull_GPUmicrobatch,c6468262,5,1747257554.746,1747257599.569,47.555,20,13,7,0.7806,0.7806,156.392,41.571,134.357
DynamicPull_GPUmicrobatch,c6468262,6,1747257600.338,1747257646.889,47.947,20,13,7,0.7822,0.7822,294.347,43.239,132.065
DynamicPull_GPUmicrobatch,c6468262,7,1747257647.443,1747257698.361,53.840,20,14,6,0.7814,0.7822,294.347,49.149,148.766
DynamicPull_GPUmicrobatch,c6468262,8,1747257698.886,1747257750.395,52.852,20,14,6,0.7810,0.7822,294.347,47.799,147.503
DynamicPull_GPUmicrobatch,c6468262,9,1747257750.930,1747257797.176,49.019,20,14,6,0.7798,0.7822,294.347,43.898,136.025
DynamicPull_GPUmicrobatch,c6468262,10,1747257797.693,1747257845.816,50.914,20,14,6,0.7846,0.7846,493.274,47.465,143.784
DynamicPull_GPUmicrobatch,c6468262,11,1747257846.390,1747257897.261,52.336,20,13,7,0.7811,0.7846,493.274,43.128,145.491
DynamicPull_GPUmicrobatch,c6468262,12,1747257897.887,1747257947.120,51.213,20,14,6,0.7809,0.7846,493.274,46.909,144.060
DynamicPull_GPUmicrobatch,c6468262,13,1747257947.698,1747257995.739,50.852,20,13,7,0.7848,0.7848,643.198,45.332,144.871
DynamicPull_GPUmicrobatch,c6468262,14,1747257996.558,1747258043.806,48.624,20,14,6,0.7825,0.7848,643.198,45.961,136.430
DynamicPull_GPUmicrobatch,c6468262,15,1747258043.145,1747258092.452,50.757,20,13,7,0.7783,0.7848,643.198,45.629,143.477
DynamicPull_GPUmicrobatch,c6468262,16,1747258093.021,1747258139.648,49.432,20,13,7,0.7878,0.7878,787.107,42.866,140.593
DynamicPull_GPUmicrobatch,c6468262,17,1747258140.384,1747258195.391,56.412,20,15,5,0.7797,0.7878,787.107,51.036,161.304
DynamicPull_GPUmicrobatch,c6468262,18,1747258196.150,1747258244.913,51.607,20,14,6,0.7809,0.7878,787.107,46.768,145.258
DynamicPull_GPUmicrobatch,c6468262,19,1747258245.424,1747258299.395,56.846,20,16,4,0.7802,0.7878,787.107,53.382,161.169
