hpo_approach_id,run_id,macro_iteration,iteration_start_time_abs,iteration_end_time_abs,iteration_duration_s,num_configs_screened_cpu_total,num_configs_promoted_to_gpu,num_configs_evaluated_gpu,best_fitness_this_iteration_gpu,best_fitness_so_far_gpu,wall_clock_time_to_best_so_far_s,total_cpu_screen_time_s_iter,total_gpu_eval_time_s_iter
MultiStage_CPUScreen_GPUFull,912a125b,1,1747258329.573,1747258364.555,36.432,24,11,12,0.7609,0.7609,36.106,3.212,31.264
MultiStage_CPUScreen_GPUFull,912a125b,2,1747258364.556,1747258397.613,34.476,24,11,12,0.7537,0.7609,36.106,2.234,33.009
MultiStage_CPUScreen_GPUFull,912a125b,3,1747258397.614,1747258429.654,33.504,24,11,12,0.7589,0.7609,36.106,2.021,31.976
MultiStage_CPUScreen_GPUFull,912a125b,4,1747258429.655,1747258461.638,33.487,24,11,12,0.7570,0.7609,36.106,2.227,32.000
MultiStage_CPUScreen_GPUFull,912a125b,5,1747258461.639,1747258493.806,33.640,24,11,12,0.7625,0.7625,165.357,2.263,32.347
MultiStage_CPUScreen_GPUFull,912a125b,6,1747258493.807,1747258525.267,32.902,24,11,12,0.7700,0.7700,196.818,1.922,31.527
MultiStage_CPUScreen_GPUFull,912a125b,7,1747258525.267,1747258557.679,33.840,24,11,12,0.7767,0.7767,229.230,2.180,32.390
MultiStage_CPUScreen_GPUFull,912a125b,8,1747258557.679,1747258590.748,34.466,24,11,12,0.7673,0.7767,229.230,2.340,33.309
MultiStage_CPUScreen_GPUFull,912a125b,9,1747258590.750,1747258624.037,34.755,24,11,12,0.7715,0.7767,229.230,2.465,33.137
MultiStage_CPUScreen_GPUFull,912a125b,10,1747258624.039,1747258657.448,34.891,24,11,12,0.7650,0.7767,229.230,2.240,33.384
MultiStage_CPUScreen_GPUFull,912a125b,11,1747258657.449,1747258689.954,33.944,24,11,12,0.7713,0.7767,229.230,2.646,32.289
MultiStage_CPUScreen_GPUFull,912a125b,12,1747258689.954,1747258721.426,34.392,24,11,12,0.7742,0.7767,229.230,2.242,33.003
MultiStage_CPUScreen_GPUFull,912a125b,13,1747258721.427,1747258754.898,34.889,24,11,12,0.7693,0.7767,229.230,2.424,33.361
MultiStage_CPUScreen_GPUFull,912a125b,14,1747258754.898,1747258787.323,33.965,24,11,12,0.7699,0.7767,229.230,2.034,32.549
MultiStage_CPUScreen_GPUFull,912a125b,15,1747258787.324,1747258820.187,34.374,24,11,12,0.7766,0.7767,229.230,2.612,32.864
MultiStage_CPUScreen_GPUFull,912a125b,16,1747258820.188,1747258852.657,33.912,24,11,12,0.7785,0.7785,524.208,2.057,32.478
MultiStage_CPUScreen_GPUFull,912a125b,17,1747258852.657,1747258886.150,34.947,24,11,12,0.7726,0.7785,524.208,2.628,33.504
MultiStage_CPUScreen_GPUFull,912a125b,18,1747258886.150,1747258919.649,34.926,24,11,12,0.7705,0.7785,524.208,2.170,33.283
MultiStage_CPUScreen_GPUFull,912a125b,19,1747258919.649,1747258952.433,34.269,24,11,12,0.7736,0.7785,524.208,2.552,33.059
MultiStage_CPUScreen_GPUFull,912a125b,20,1747258952.434,1747258984.265,33.319,24,11,12,0.7747,0.7785,524.208,2.393,31.861
MultiStage_CPUScreen_GPUFull,912a125b,21,1747258984.265,1747259017.529,34.786,24,11,12,0.7752,0.7785,524.208,2.345,33.332
MultiStage_CPUScreen_GPUFull,912a125b,22,1747259017.531,1747259048.996,32.920,24,11,12,0.7850,0.7850,720.546,1.929,31.650
MultiStage_CPUScreen_GPUFull,912a125b,23,1747259048.997,1747259082.810,35.309,24,11,12,0.7749,0.7850,720.546,2.552,34.206
MultiStage_CPUScreen_GPUFull,912a125b,24,1747259082.812,1747259114.438,33.092,24,11,12,0.7791,0.7850,720.546,2.431,31.490
MultiStage_CPUScreen_GPUFull,912a125b,25,1747259114.438,1747259145.889,32.916,24,11,12,0.7781,0.7850,720.546,2.191,31.391
MultiStage_CPUScreen_GPUFull,912a125b,26,1747259145.890,1747259177.924,33.547,24,11,12,0.7738,0.7850,720.546,2.807,32.187
MultiStage_CPUScreen_GPUFull,912a125b,27,1747259177.924,1747259210.852,34.462,24,11,12,0.7766,0.7850,720.546,3.036,33.041
MultiStage_CPUScreen_GPUFull,912a125b,28,1747259210.854,1747259243.780,34.360,24,11,12,0.7794,0.7850,720.546,2.627,32.853
